Icon10k	e951
Icon10mp	e952
Icon11mp	e953
Icon123	eb8d
Icon12mp	e954
Icon13mp	e955
Icon14mp	e956
Icon15mp	e957
Icon16mp	e958
Icon17mp	e959
Icon18UpRating	f8fd
Icon18mp	e95a
Icon19mp	e95b
Icon1k	e95c
Icon1kPlus	e95d
Icon1xMobiledata	efcd
Icon1xMobiledataBadge	f7f1
Icon20mp	e95e
Icon21mp	e95f
Icon22mp	e960
Icon23mp	e961
Icon24fpsSelect	f3f2
Icon24mp	e962
Icon2d	ef37
Icon2d2	fff0e
Icon2k	e963
Icon2kPlus	e964
Icon2mp	e965
Icon30fps	efce
Icon30fpsSelect	efcf
Icon360	e577
Icon3d	ed38
Icon3d2	fff0f
Icon3dRotation	e84d
Icon3gMobiledata	efd0
Icon3gMobiledataBadge	f7f0
Icon3k	e966
Icon3kPlus	e967
Icon3mp	e968
Icon3p	efd1
Icon4gMobiledata	efd2
Icon4gMobiledataBadge	f7ef
Icon4gPlusMobiledata	efd3
Icon4k	e072
Icon4kPlus	e969
Icon4mp	e96a
Icon50mp	f6f3
Icon5g	ef38
Icon5gMobiledataBadge	f7ee
Icon5k	e96b
Icon5kPlus	e96c
Icon5mp	e96d
Icon60fps	efd4
Icon60fpsSelect	efd5
Icon6FtApart	f21e
Icon6k	e96e
Icon6kPlus	e96f
Icon6mp	e970
Icon7k	e971
Icon7kPlus	e972
Icon7mp	e973
Icon8k	e974
Icon8kPlus	e975
Icon8mp	e976
Icon9k	e977
Icon9kPlus	e978
Icon9mp	e979
Abc	eb94
AcUnit	eb3b
AccessAlarm	e855
AccessAlarms	e855
AccessTime	efd6
AccessTimeFilled	efd6
Accessibility	e84e
AccessibilityNew	e92c
Accessible	e914
AccessibleForward	e934
AccessibleMenu	f34e
AccountBalance	e84f
AccountBalanceWallet	e850
AccountBox	e851
AccountChild	e852
AccountChildInvert	e659
AccountCircle	f20b
AccountCircleFilled	f20b
AccountCircleOff	f7b3
AccountTree	e97a
ActionKey	f502
ActivityZone	e1e6
Acupuncture	f2c4
Acute	e4cb
Ad	e65a
AdGroup	e65b
AdGroupOff	eae5
AdOff	f7b2
AdUnits	f2eb
AdaptiveAudioMic	f4cc
AdaptiveAudioMicOff	f4cb
Adb	e60e
Add	e145
Add2	f3dd
AddAPhoto	e439
AddAd	e72a
AddAlarm	e856
AddAlert	e003
AddBox	e146
AddBusiness	e729
AddCall	f0b7
AddCard	eb86
AddChart	ef3c
AddCircle	e990
AddCircleOutline	e990
AddColumnLeft	f425
AddColumnRight	f424
AddComment	e266
AddDiamond	f49c
AddHome	f8eb
AddHomeWork	f8ed
AddIcCall	f0b7
AddLink	e178
AddLocation	e567
AddLocationAlt	ef3a
AddModerator	e97d
AddNotes	e091
AddPhotoAlternate	e43e
AddReaction	e1d3
AddRoad	ef3b
AddRowAbove	f423
AddRowBelow	f422
AddShoppingCart	e854
AddTask	f23a
AddToDrive	e65c
AddToHomeScreen	f2b9
AddToPhotos	e39d
AddToQueue	e05c
AddTriangle	f48e
AdfScanner	eada
Adjust	e39e
AdminMeds	e48d
AdminPanelSettings	ef3d
AdsClick	e762
Agender	f888
Agriculture	ea79
Air	efd8
AirFreshener	e2ca
AirPurifier	e97e
AirPurifierGen	e829
AirlineSeatFlat	e630
AirlineSeatFlatAngled	e631
AirlineSeatIndividualSuite	e632
AirlineSeatLegroomExtra	e633
AirlineSeatLegroomNormal	e634
AirlineSeatLegroomReduced	e635
AirlineSeatReclineExtra	e636
AirlineSeatReclineNormal	e637
AirlineStops	e7d0
Airlines	e7ca
AirplaneTicket	efd9
AirplanemodeActive	e53d
AirplanemodeInactive	e194
Airplay	e055
AirportShuttle	eb3c
Airware	f154
Airwave	f154
Alarm	e855
AlarmAdd	e856
AlarmOff	e857
AlarmOn	e858
AlarmPause	f35b
AlarmSmartWake	f6b0
Album	e019
AlignCenter	e356
AlignEnd	f797
AlignFlexCenter	f796
AlignFlexEnd	f795
AlignFlexStart	f794
AlignHorizontalCenter	e00f
AlignHorizontalLeft	e00d
AlignHorizontalRight	e010
AlignItemsStretch	f793
AlignJustifyCenter	f792
AlignJustifyFlexEnd	f791
AlignJustifyFlexStart	f790
AlignJustifySpaceAround	f78f
